거래일,내용,출금액,입금액
2026-09-24,스타벅스 강남점,5500,
2026-09-12,무신사,47900,
2026-08-11,배달의민족,26100,
2026-09-11,메가커피,3600,
2026-07-29,쿠팡,17600,
2026-08-01,쿠팡,34500,
2026-09-05,쿠팡,82200,
2026-08-07,올리브영,19700,
2026-09-24,지하철 정기권,55000,
2026-09-01,메가커피,2800,
2026-08-20,무신사,65400,
2026-07-13,쿠팡,34000,
2026-08-13,쿠팡,75400,
