승인일자,가맹점명,이용금액,적요
2026-09-18,쿠팡,84800,일시불
2026-07-18,스타벅스 강남점,6600,일시불
2026-07-28,쿠팡와우,4900,일시불
2026-07-19,배달의민족,19100,일시불
2026-07-01,배달의민족,19000,일시불
2026-07-18,이마트 성수점,78100,일시불
2026-08-15,요기요,26900,일시불
2026-09-20,올리브영,14300,일시불
2026-09-15,무신사,54300,일시불
2026-08-23,요기요,21700,일시불
2026-09-21,쿠팡,46000,일시불
2026-09-06,메가커피,2700,일시불
2026-07-05,무신사,39500,일시불
2026-07-25,스타벅스 강남점,6600,일시불
2026-09-26,카카오T택시,6900,일시불
2026-09-24,교보문고,14700,일시불
2026-09-13,CGV,19100,일시불
2026-08-16,요기요,25100,일시불
2026-08-15,이마트 성수점,69100,일시불
2026-09-19,스타벅스 강남점,7600,일시불
2026-09-09,GS25 역삼점,9600,일시불
2026-08-19,서울대병원약국,18700,일시불
2026-09-02,메가커피,3900,일시불
2026-09-15,배달의민족,19500,일시불
2026-07-25,CGV,24700,일시불
2026-09-03,GS25 역삼점,6600,일시불
2026-09-09,스타벅스 강남점,7500,일시불
2026-08-22,메가커피,4300,일시불
2026-07-18,무신사,29800,일시불
2026-08-31,카카오T택시,14000,일시불
2026-08-31,이마트 성수점,32100,일시불
2026-08-24,스타벅스 강남점,7100,일시불
2026-09-30,배달의민족,19600,일시불
2026-09-07,월세,550000,일시불
2026-07-08,스타벅스 강남점,7600,일시불
2026-07-16,넷플릭스,13500,일시불
2026-07-19,쿠팡와우,4900,일시불
2026-09-11,배달의민족,19300,일시불
2026-08-06,CGV,18200,일시불
2026-07-11,요기요,24700,일시불
2026-08-05,월세,550000,일시불
2026-08-08,요기요,17200,일시불
2026-09-22,쿠팡,79200,일시불
2026-09-12,스타벅스 강남점,6800,일시불
2026-08-03,무신사,68100,일시불
2026-07-21,쿠팡,83000,일시불
2026-07-25,GS25 역삼점,5900,일시불
2026-09-16,SKT 통신요금,63900,일시불
2026-08-15,스타벅스 강남점,6500,일시불
2026-08-13,배달의민족,12900,일시불
2026-07-22,SKT 통신요금,72100,일시불
2026-09-13,요기요,19800,일시불
2026-07-03,GS25 역삼점,5900,일시불
2026-09-01,올리브영,34100,일시불
2026-07-21,이마트 성수점,59300,일시불
2026-09-03,카카오T택시,8300,일시불
2026-08-31,요기요,26100,일시불
2026-09-05,메가커피,4200,일시불
2026-08-24,SKT 통신요금,72200,일시불
2026-09-03,요기요,17600,일시불
2026-07-16,GS25 역삼점,11100,일시불
2026-09-08,요기요,21400,일시불
2026-08-28,쿠팡와우,4900,일시불
2026-09-10,메가커피,3100,일시불
2026-07-27,카카오T택시,16900,일시불
2026-08-30,스타벅스 강남점,7600,일시불
2026-07-25,메가커피,4900,일시불
2026-07-05,SKT 통신요금,62800,일시불
2026-09-17,카카오T택시,10700,일시불
2026-07-14,이마트 성수점,51800,일시불
2026-07-09,GS25 역삼점,3200,일시불
2026-09-12,배달의민족,25400,일시불
2026-08-17,카카오T택시,18700,일시불
2026-09-30,요기요,16000,일시불
2026-09-24,CGV,26600,일시불
2026-09-26,쿠팡,67100,일시불
2026-09-04,요기요,17400,일시불
2026-08-28,무신사,47100,일시불
2026-07-23,카카오T택시,8700,일시불
2026-09-12,지하철 정기권,55000,일시불
2026-07-01,GS25 역삼점,4300,일시불
2026-09-21,SKT 통신요금,60700,일시불
2026-09-16,쿠팡와우,4900,일시불
2026-09-04,GS25 역삼점,11200,일시불
2026-08-18,카카오T택시,13500,일시불
2026-08-29,요기요,26000,일시불
2026-07-16,SKT 통신요금,61900,일시불
2026-07-07,이마트 성수점,63100,일시불
2026-08-04,스타벅스 강남점,4900,일시불
2026-08-03,SKT 통신요금,67200,일시불
2026-09-11,쿠팡,27400,일시불
2026-07-06,SKT 통신요금,78400,일시불
2026-08-05,이마트 성수점,30200,일시불
2026-08-05,쿠팡,25100,일시불
2026-09-15,GS25 역삼점,11400,일시불
2026-09-19,배달의민족,26100,일시불
2026-07-17,스타벅스 강남점,5300,일시불
2026-07-20,GS25 역삼점,9800,일시불
2026-09-24,스타벅스 강남점,5500,일시불
2026-09-12,무신사,47900,일시불
2026-08-11,배달의민족,26100,일시불
2026-09-11,메가커피,3600,일시불
2026-07-29,쿠팡,17600,일시불
2026-08-01,쿠팡,34500,일시불
2026-09-05,쿠팡,82200,일시불
2026-08-07,올리브영,19700,일시불
2026-09-24,지하철 정기권,55000,일시불
2026-09-01,메가커피,2800,일시불
2026-08-20,무신사,65400,일시불
2026-07-13,쿠팡,34000,일시불
2026-08-13,쿠팡,75400,일시불
